 [INFO] 2016-05-14 19:07:50,574 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:50,604 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.030s]
 [INFO] 2016-05-14 19:07:50,638 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.034s]
 [INFO] 2016-05-14 19:07:50,671 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.032s]
 [INFO] 2016-05-14 19:07:50,707 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.036s]
 [INFO] 2016-05-14 19:07:50,738 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.030s]
 [INFO] 2016-05-14 19:07:50,771 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:50,855 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:50,890 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:50,929 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.038s]
 [INFO] 2016-05-14 19:07:51,023 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.093s]
 [INFO] 2016-05-14 19:07:51,056 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:51,090 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:51,123 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:51,154 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.031s]
 [INFO] 2016-05-14 19:07:51,190 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:51,388 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.044s]
 [INFO] 2016-05-14 19:07:51,423 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:51,465 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:51,498 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:51,538 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:51,582 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.044s]
 [INFO] 2016-05-14 19:07:51,621 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:51,740 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:51,782 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:51,824 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.040s]
 [INFO] 2016-05-14 19:07:51,863 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:51,905 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:51,947 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:51,996 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.049s]
 [INFO] 2016-05-14 19:07:52,029 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:52,071 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.042s]
 [INFO] 2016-05-14 19:07:52,157 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:52,238 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.080s]
 [INFO] 2016-05-14 19:07:52,321 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:52,407 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:52,490 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:52,579 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:52,730 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.150s]
 [INFO] 2016-05-14 19:07:52,821 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
